name,address
City Translation Center,Translation Center City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Betemengest Kebele: - Direction: Behind Adulis Hotel   Building:   Branch:   Flat: Phone: +251-34-4401061
Atse Kaleb Hotel,"Restaurant and Bar, Bedrooms City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Menaharia Kebele: 09 Direction: Near Menaharia   Building:   Branch:   Flat: Phone: 251-34-4415255"
Merkeb Hotel,"Restaurant and Bar, Bedrooms City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Menaharia Kebele: 09 Direction: In front of Menaharia   Building:   Branch:   Flat: Phone: 251-34-4410360"
Tigray Regional Communication Affairs Office,Communication Affairs Office City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Menaharia Kebele: - Direction: In front of Agazi Bank   Building:   Branch:   Flat: Phone: +251-34-4400769   +251-34-4409360 Fax: +251-34-4407462
Tigray Regional State of Police Commission,State of Police Commission City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Menaharia Kebele: - Direction: In front of Milan Hotel   Building:   Branch:   Flat: Phone: +251-34-4400193   +251-34-4408831 Fax: +251-34-4404516 P.O.Box 25 Website/Email: tigraicommissionpolice@yahoo.com
Solomon Kiros Jewelery,Gold Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Menaharia Kebele: 01 Direction: Around Tourist Hotel   Building:   Branch:   Flat: Phone: +251-34-4416407
Pan Africa Gelobal Ethiopia,Travel & Tour Agency City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Menaharia Kebele: - Direction: Near Milanu Hotel   Building:   Branch:   Flat: Phone: +251-34-4402648
Aman Higher Clinic,Higher Clinic City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Menaharia Kebele: - Direction: Around Kidane Meheret Church   Building:   Branch:   Flat: Phone: +251-34-4405270
Nice Insurance Campany S.C (National Insurance),Life and Non Life Insurance Branch: Dila Branch  City: Dilla City  Kifle Ketema: Dilla  Sefer: Postrandevu Kebele: 02 Direction: Neaer Dememu Building   Building:   Branch:   Flat: Phone: +251-46-3312497 Fax: +251-46-3312498
Atse Yohannes Hotel,"Restaurant and Bar, Bedrooms and Internet Service City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Atse Yohnnes Kebele: 14 Direction: From Atse Yohannes Museum 50 M   Building:   Branch:   Flat: Phone: 251-34-4406760/61"
Lukas Pharmacy,Pharmacy City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Atse Yohnnes Kebele: 15 Direction: In front of Selina Electronics   Building:   Branch:   Flat: Phone: 251-34-4407430
Tigray Regional Higher Court,Higher Court City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Atse Yohnnes Kebele: - Direction: In front of Dove Cafe   Building:   Branch:   Flat: Phone: +251-34-4406043 Fax: +251-34-4404301
Bora Constraction,Building Constraction City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Atse Yohnnes Kebele: 01 Direction: Near Africa Insurance   Building:   Branch:   Flat: Phone: +251-34-4410271
Z Spare Part,Spare Part Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Atse Yohnnes Kebele: 01 Direction: Behind Wegagen Bank   Building:   Branch:   Flat: Phone: +251-34-4416471
Teklay Desta,Spare Part Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Atse Yohnnes Kebele: 01 Direction: In front of KD Mobile Maintenance   Building:   Branch:   Flat: Phone: +251-34-4413521
Fraol Spare Part,Spare Part Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Atse Yohnnes Kebele: 01 Direction: Around Awash Insurance   Building:   Branch:   Flat: Phone: +251-34-4416482
Fetan Spare Part,Spare Part Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Atse Yohnnes Kebele: 01 Direction: In front of Desta Printing   Building:   Branch:   Flat: Phone: +251-34-4415716
Ekid Spare Part,Spare Part Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Atse Yohnnes Kebele: 01 Direction: Near Rohobot Music Shop   Building:   Branch:   Flat: Phone: +251-34-4411233
Aschalew Spare Part,Spare Part Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Atse Yohnnes Kebele: 01 Direction: Around Tgray Hotel   Building:   Branch:   Flat: Phone: +251-34-4416414
Milano Hotel,"Restaurant and Bar, Bed Room City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Atse Yohnnes Kebele: - Direction: In front of Tigray City Police Commission   Building:   Branch:   Flat: Phone: +251-91-4300825   +251-91-1247756"
Tigraie Development Assoiation,Assciation City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Atse Yohnnes Kebele: 01 Direction: Around Atse Yohannes Muzieum   Building:   Branch:   Flat: Phone: +251-34-4400999   +251-91-1200817   +251-11-5543359 Website/Email: admin@tdaint.org
Atse Yohannes Secondary School,Secondary School City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Atse Yohnnes Kebele: 09 Direction: In Front of Milano Hotel   Building:   Branch:   Flat: Phone: +251-34-4400030
Cultural Association Of Tigray,Association City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Atse Yohnnes Kebele: - Direction: Around Atse Yohannes Hotel   Building:   Branch:   Flat: Phone: +251-34-4407308
Zemenawi Printing Press,Printing Press City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Atse Yohnnes Kebele: 16 Direction: Around Milano Hotel   Building:   Branch:   Flat: Phone: +251-34-4410771
The Yordanos Hotel,"Restaurant, Bar, Bed Rooms and Internet Service City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Mezegaja Bet Kebele: 01 Direction: Around Nigd Bank   Building:   Branch:   Flat: Phone: +251-34-4413722   +251-34-4413764   +251-34-4413370   +251-91-4708086"
Seti Hotel,"Restaurant, Bar, Bed Rooms and Internet Service City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Mezegaja Bet Kebele: 01 Direction: In front of Agaazi Bank   Building:   Branch:   Flat: Phone: +251-34-4400668"
Civil Service Office (mekela),Governemental Office City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Mezegaja Bet Kebele: - Direction: Around Mesetedader Office   Building:   Branch:   Flat: Phone: +251-34-4410051 Fax: +251-34-4407375
Girmay Wereta Stationery,Stationery City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Romanat Music Shop Kebele: - Direction: Around Yordanos Restaurant   Building:   Branch:   Flat: Phone: +251-34-4401414
Tadesse Hagos Hotel,Bed Rooms Only City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Romanat Music Shop Kebele: 01 Direction: Around Milano Hotel   Building:   Branch:   Flat: Phone: +251-34-4402698
Kessati Birhan School,From 1st to 10th Grade City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Romanat Music Shop Kebele: - Direction: In front of Commercial Bank   Building:   Branch:   Flat: Phone: +251-34-4402461
Solomon Mohammed,Building Material Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Romanat Music Shop Kebele: 01 Direction: In front of Hibret Bank   Building:   Branch:   Flat: Phone: +251-34-4403535
Tigray Education Office,Governmental Office City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Romanat Music Shop Kebele: - Direction: Near Photo Desta   Building:   Branch:   Flat: Phone: +251-34-4406988
Bazen Book Shop,Book Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Romanat Music Shop Kebele: - Direction: Near Educational Office   Building:   Branch:   Flat: Phone: +251-34-4413960
Fereweyne Spare Part,Spare part Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Romanat Music Shop Kebele: - Direction: Near Axum Electronics   Building:   Branch:   Flat: Phone: +251-34-4407909
Muse Electronics,Electronics Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Romanat Music Shop Kebele: 13 Direction: Around Wereqe Batoche   Building:   Branch:   Flat: Phone: +251-34-4409979
Power General Electronics,Pawer General Electronics City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Romanat Music Shop Kebele: 11 Direction: Near Commercial Bank of Ethiopia Romanat Branch   Building:   Branch:   Flat: Phone: +251-34-4402148
Romanat Electronics,Electronics Materials shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Romanat Music Shop Kebele: 16 Direction: Near Tadesse Hagos Hotel   Building:   Branch:   Flat: Phone: +251-34-4410587
Axumite International Pharmaceutical Trading P.L.C,Medical Equipment Importer City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Romanat Music Shop Kebele: 11 Direction: Near Commercial Bank of Ethiopia Romanat Branch   Building:   Branch:   Flat: Phone: +251-34-4416864
Ethiopian Insurance Corporation,Insurance City: Mizan Tefri City  Kifle Ketema: Mizan Tefri  Sefer: Berhan Hotel Kebele: 01 Direction: Near Berhan Hotel(Mizan Teferi Branch)   Building:   Branch:   Flat: Phone: 251-47-3350277 Fax: 251-47-3351654
Ras Hotel Alula Abanega Hotel,"Restaurant and Bar, Bedrooms and Internet Service, Steam and Sauna Bath City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Sheba Collage Kebele: 16 Direction: Around Sheba Collage   Building:   Branch:   Flat: Phone: 251-34-4406675"
Experss Transit,Transit City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Sheba Collage Kebele: - Direction: Inside Trans Ethiopian   Building:   Branch:   Flat: Phone: +251-34-4410446 Fax: +251-34-4404178
Lum Trading,Faucet Equipment Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Sheba Collage Kebele: - Direction: Around Sheba Collage   Building:   Branch:   Flat: Phone: +251-91-4314956
Yaine Beauty Training Center,Beauty Training Center City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Sheba Collage Kebele: 17 Direction: Near Sheba Business Collage   Building:   Branch:   Flat: Phone: +251-34-4407764
Welawl General Trade P.L.C,Computer Importer & Sale City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Nigid Bank Kebele: 01 Direction: In front of Garad Building   Building:   Branch:   Flat: Phone: +251-34-4419396
Dr.Amanuel Clinic,Alter sound Clinic City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Kedamay Weyane Gebeya Kebele: 11 Direction: Around Mesgid   Building:   Branch:   Flat: Phone: 251-34-4404692
St.Rufeal Rural Drug Store,Drug Store Working Hour: Mon-Sat 7:00am-9:00pm (fulldaye)  City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Kedamay Weyane Gebeya Kebele: 11 Direction: Near kedamay weyane gebeya   Building:   Branch:   Flat: Phone: 251-34-4401113
Yared Building Material Shop,Building Material Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Kedamay Weyane Gebeya Kebele: 01 Direction: In front of Huda Flour Shop   Building:   Branch:   Flat: Phone: +251-34-4401552
WS Building Material Shop,Building Material Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Kedamay Weyane Gebeya Kebele: 03 Direction: Around Yared Building Material Shop   Building:   Branch:   Flat: Phone: +251-34-4414280
Welwalo Building material Shop,Building material Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Kedamay Weyane Gebeya Kebele: 03 Direction: In front of Buna Bank   Building:   Branch:   Flat: Phone: +251-34-4407243
Solomon Gidey Construction,Building Construction City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Kedamay Weyane Gebeya Kebele: - Direction: Inside Kedamay Weyane Building   Building:   Branch:   Flat: Phone: +251-91-4000194
Meaza Hailu Contractors,Building Construction City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Kedamay Weyane Gebeya Kebele: - Direction: Inside Abyssinia Bank   Building:   Branch:   Flat: Phone: +251-91-4300139
Buna International Bank S.C.,Bank Branch: Kobo Branch   City: Qobo City  Kifle Ketema: Qobo  Sefer: Ginb Kebele Kebele: 02 Direction: Near Hulegeb Hall   Building:   Branch:   Flat: Phone: +251-33-3341274/75    +251-33-1130168   +251-33-1130234
Kemsandana Import P.L.C,Solar Equipment Import City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Kedamay Weyane Gebeya Kebele: 01 Direction: In Front of Sheba Business Collage   Building:   Branch:   Flat: Phone: +251-91-4701946
Zakerma General Import and Export,"Agricultural Equipment,Building Materials Importer City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Kedamay Weyane Gebeya Kebele: - Direction: Around Kedamay Weyane Branch   Building:   Branch:   Flat: Phone: +251-91-4300275"
Data Printing Press P.L.C,Printing Press City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Kedamay Weyane Gebeya Kebele: 01 Direction: In front of Atse Yohans School   Building:   Branch:   Flat: Phone: +251-34-4414884
Gebre Gebresilase Building Materials,Building Materials City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Kedamay Weyane Gebeya Kebele: 14 Direction: Near Mekelle Cafe   Building:   Branch:   Flat: Phone: +251-34-4401634
Harmaz Building Materials,Building Materials Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Kedamay Weyane Gebeya Kebele: - Direction: Near Addis International Bank Mekelle Branch   Building:   Branch:   Flat: Phone: +251-34-4408946
Husena Building Material,Building Material Supply City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Kedamay Weyane Gebeya Kebele: - Direction: In Front of Qedamawi Weyane Building   Building:   Branch:   Flat: Phone: +251-34-4415992
Omedad P.l.c.,Household & Office Furnituer City: Dire Dawa City  Kifle Ketema: Dire Dawa  Sefer: Kezira Kebele: - Direction: Infront of Contnetal Hotel   Building:   Branch:   Flat: Phone: +251-25-1113327
Buna Insurance S.C,Insurance Branch: Head Office  City: Addis Ababa City  Kifle Ketema: Arada  Sefer: Berhanena Selam Matemia Kebele: 17 Direction: Near Berhanena Selam Matemia   Building: Daber Building   Branch:   Flat: 3rd Floor Phone: +251-11-1576054   +251-11-1574723
Nile Gabion Factory(United Alpha Commercial P.l.C),"Gabion Boxes, Mattres Boxes,Hexagonal Chain Link Fence and Diamond Chain Link Fence etc. Rectangular hollow Section (RHS),Square Hollow Section (SHS),U Channels, I Beam, H Beam, Sheet Metal, Circular Hollow Section (CHS), Flat Iron, Angle Iron, Reinforcement Bars, Black Wire and Timber , City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Industrial zone Kebele: - Direction: Around Hamiday   Building:   Branch:   Flat: Phone: +251-34-4404950/51 Fax: +251-34-4404949 Website/Email: unalpha@ethionet.et"
Niyala Hotel,"Restaurant and Bar, Bedrooms City: Dire Dawa City  Kifle Ketema: Dire Dawa  Sefer: Megala Kebele: - Direction: In front of Dashen Bank   Building:   Branch:   Flat: Phone: +251-25-1112120"
Africa Hotel,"Restaurant, Bar and Bedrooms City: Axum City  Kifle Ketema: Axum  Sefer: Tabia Hayelom Kebele: 01 Direction: Around Tishon mariam church   Building:   Branch:   Flat: Phone: +251-34-7753700/01"
Biruh Tesfa HIV Postive Association Tigray,Association City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Airport Kebele: 01 Direction: Around Mariam Church   Building:   Branch:   Flat: Phone: +251-34-4420279
Fisum Birhan Hospital,General Eye Clinic City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Abrha Calstil Kebele: 18 Direction: Behind Abreha Castil   Building:   Branch:   Flat: Phone: 251-34-4408000   251-91-4700535 P.O.Box 577
Abreha Castel Hotel,Hotel City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Abrha Calstil Kebele: - Direction: Around Commertial Bank   Building:   Branch:   Flat: Phone: +251 34-4406555
Lalibela Jewellary,Silver and Gold Jeweleries Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Tourist Hotel Kebele: 01 Direction: In front of Tourist Hotel   Building:   Branch:   Flat: Phone: +251-34-4414998
Betelhem Jewellary Shop,Silver and Gold Jewelleries Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Tourist Hotel Kebele: 01 Direction: Near Wendemamachoch Shop   Building:   Branch:   Flat: Phone: +251-34-4405364
Redaie Kiros Jewellary,Silver and Gold Jeweleries Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Tourist Hotel Kebele: 01 Direction: In front of Lalibela Jewellary   Building:   Branch:   Flat: Phone: +251-34-4402668
Zufan Redi,Silver and Gold Jeweleries Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Tourist Hotel Kebele: 01 Direction: Around Tourist Hotel   Building:   Branch:   Flat: Phone: +251-34-4418378
Enderta Jewellary,Silver and Other Jewellaries Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Tourist Hotel Kebele: 01 Direction: In front of Abyssinia Bed Room   Building:   Branch:   Flat: Phone: +251-34-4408275
Abyssinia Gold Shop,Silver and Gold Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Tourist Hotel Kebele: 01 Direction: In front of Zufan Gold Shop   Building:   Branch:   Flat: Phone: +251-34-4409363
Brihane Gebre Selase Jewelery,Silver and Gold Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Tourist Hotel Kebele: 01 Direction: In front of Concord Hotel   Building:   Branch:   Flat: Phone: +251-34-4401536
Alganesh Jewelery,Gold Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Tourist Hotel Kebele: 01 Direction: In front of Lalibela Gold Shop   Building:   Branch:   Flat: Phone: +251-34-4404060
Tigray Farmers Assocation,Assocation City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Tourist Hotel Kebele: 11 Direction: In Side Enderta Building   Building:   Branch:   Flat: Phone: +251-34-4410809
Dr. Mekonnen Clinic,Internal Medical and Dental Clinic City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hawuzen Adebabaye Kebele: 01 Direction: Near Meaza Furniture   Building:   Branch:   Flat: Phone: 251-34-4418525
Meskerem Clinic,General Medical City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hawuzen Adebabaye Kebele: 12 Direction: Near post Office   Building:   Branch:   Flat: Phone: 251-34-4409944
Beza Higher Clinic,General Medical City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hawuzen Adebabaye Kebele: - Direction: In front of hawuzen Adebabay   Building:   Branch:   Flat: Phone: 251-34-4401448
Millennium Pharemacy,Pharemacy Working Hour: Mon-Sun 7:00am-10:00pm(fulldaye)  City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hawuzen Adebabaye Kebele: 11 Direction: In front of Mihiret Pharmacy   Building:   Branch:   Flat: Phone: 251-34-4404501
Ambassador Pharmacy,Pharmacy City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hawuzen Adebabaye Kebele: 12 Direction: In front of hawuzen Adebabay   Building:   Branch:   Flat: Phone: 251-34-4403909
Mekele Post Office,Post Office City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hawuzen Adebabaye Kebele: 11 Direction: In front of Hwuzen Adebabay   Building:   Branch:   Flat: Phone: 251-34-4400944 Fax: 251-34-4401083
Artist Eyasu Berhe Women Fighters Association,Association City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hawuzen Adebabaye Kebele: 03 Direction: In front of Teklehaymanot Church   Building:   Branch:   Flat: Phone: +251-91-4030467   +251-91-4031140
Abreha Teruneh Glass Work,Glass Work City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hawuzen Adebabaye Kebele: - Direction: Around Life Electronics   Building:   Branch:   Flat: Phone: +251-34-4408401
Aragawi Electronics,Electronics Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hawuzen Adebabaye Kebele: - Direction: Near Post Office   House No.: 999999 Building:   Branch:   Flat: Phone: +251-34-4409083
Bilale Traditional Clouse,Different kind of Traditional Cloth City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hawuzen Adebabaye Kebele: - Direction: In Front of Post Office   Building:   Branch:   Flat: Phone: +251-34-4414060
Amanuel Wolde Selassie House Hold and Office Furniture Factory,House hold and Office Furniture Factory City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hawuzen Adebabaye Kebele: - Direction: In Front of Hakfen Dental Clinic   Building:   Branch:   Flat: Phone: +251-34-4415144
Million House Hold and Office Furniture,House Hold and Office Furniture City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hawuzen Adebabaye Kebele: - Direction: Near Mariam Church   Building:   Branch:   Flat: Phone: +251-34-4408633
Nardos Kombolcha Textile Shop,Kombolcha Textile Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hawuzen Adebabaye Kebele: - Direction: In Front of Post Office   Building:   Branch:   Flat: Phone: +251-34-4407078
Photo Cinelux,Photo Studio City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hawuzen Adebabaye Kebele: - Direction: Near Ethiopia Hotel   Building:   Branch:   Flat: Phone: +251-34-4402286
Tinsae Pharmacy,Pharmacy Working Hour: Mon-Sat 7:30AM-9:00PM Sun 7:00am-1:00am  City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hawuzen Adebabaye Kebele: - Direction: Near Ethiopia Hotel   Building:   Branch:   Flat: Phone: +251-34-4404332
Adhaki Clinic,General Medical City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Adhaki Kebele: 18 Direction: Near Abune Aregawi Church   Building:   Branch:   Flat: Phone: 251-34-4407353
Ethio Shewit General Trading P.L.C,Cans and nails Distribution City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Adhaki Kebele: - Direction: Infront of Buna Bank Mekele Branch   Building:   Branch:   Flat: Phone: +251-34-4411242
Sos Children's Village,Ngo City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Adhaki Kebele: - Direction: Around Trans Ethiopia   Building:   Branch:   Flat: Phone: +251-34-4410728
Trans Ethiopia P.l.c,Bulk cargo City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Adhaki Kebele: - Direction: Around Sos Children's Village   Building:   Branch:   Flat: Phone: +251-34-4400896
Tigray Nationa Regional State Science and Technology Agency,Government Office City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Adhaki Kebele: - Direction: Inside Akal Gudateyoch Building   Building:   Branch:   Flat: Phone: +251-34-4417826
Markos Higher Clinic,General Medical City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Aserasedist Kebele Kebele: 16 Direction: Behind Redcorss   Building:   Branch:   Flat: Phone: 251-34-4409220
Tigray Ethiopia Red Cross Association,Red Cross Association City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Aserasedist Kebele Kebele: 16 Direction: Around Ethiopia Niged bank 100m   Building:   Branch:   Flat: Phone: +251-34-4408863   +251-91-4701871 Fax: +251-34-4404540 Website/Email: ercs.tigray.et
Tigray Region Prisoner Office,Prisoner Office City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Aserasedist Kebele Kebele: 11 Direction: Near Tahegezer Building   Building:   Branch:   Flat: Phone: +251-34-4410797
Ahwat Stationery,Stationery Equipment Shop City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Aserasedist Kebele Kebele: - Direction: Around Atse Yohannes School   Building:   Branch:   Flat: Phone: +251-34-4400344
Comel P.L.C,Honey Factory City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Aserasedist Kebele Kebele: 16 Direction: Around Sheba College   Building:   Branch:   Flat: Phone: +251-34-4405888
Ethiopian Airlines Enterprise,"Giving Course on Piloting, Hostess & on Technical City: Assosa City  Kifle Ketema: Assosa  Sefer: Total Kebele: 02 Direction: In Side Africa Hotel   Building:   Branch:   Flat: Phone: +251-57-7750574    +251-91-1255674   +251-8959 Website/Email: asoagt@ethiopianairlines.com"
Sun Optics P.L.C,We Sale Different kinds of Eye Glasses for Sight and Sun City: Nazreth (Adama) City  Kifle Ketema: Nazreth (Adama)  Sefer: 09 Kebele Kebele: - Direction: Inside Warit Building   Building:   Branch:   Flat: Phone: +251-22-8112617   +251-22-1126538 P.O.Box 9520 Website/Email: berhaneab@gmail.com    meryyilm@yahoo.com    renex1ezra@yahoo.com
Degol Drivers Training Center,Drivers Training Center City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Aserasedist Kebele Kebele: 16 Direction: Around Atse Yohannes Secondary School   Building:   Branch:   Flat: Phone: +251-34-4410150
Development Bank of Ethiopia,Bank Branch: Agaro Branch   City: Agaro City  Kifle Ketema: Agaro  Sefer: Ajip Kebele: - Direction: Around Post Office   Building:   Branch:   Flat: Phone: +251-47-2211315
G/Selasie Cultural Restaurant,Cultural Restaurant City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Aserasedist Kebele Kebele: - Direction: In Front of Atse Yohannes Primary School   Building:   Branch:   Flat: Phone: +251-91-4700073
Zemarias Hotel,Hotel City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Aserasedist Kebele Kebele: - Direction: Behind Catholic Church   Building:   Branch:   Flat: Phone: +251-34-2406000/16
Kidus Clinic,General Medical City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Sidmo Restaurant Kebele: 11 Direction: Behind Sidmo Restaurant   Building:   Branch:   Flat: Phone: 251-34-4410555
St.George Drug Store,Drug Store City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Red Cross Kebele: 20 Direction: In front of Red Cross   Building:   Branch:   Flat: Phone: 251-34-4408263
Lideta Mariam Pharmacy,Pharmacy Working Hour: Mon-Sun 8;00am-12:30pm AftherNoon 3:00am-9:00pm  City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Red Cross Kebele: 16 Direction: Around Catholic Church   Building:   Branch:   Flat: Phone: 251-34-4402512
Nesanet Pharmacy,Pharmacy City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hayder Hospital Kebele: - Direction: Around Hayder Hospital   Building:   Branch:   Flat: Phone: 251-34-4413793
Hawuk Ethiopia Tour Opration,Tour in Different Parts of Ethiopia and Travel City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hayder Hospital Kebele: - Direction: Around Hayeser Hospital   Building:   Branch:   Flat: Phone: +251-34-8400687   +251-34-4408472 P.O.Box 55774 Website/Email: hawkethiopia@yahoo.com
Biruh-Tesfa Plastic Products PLC,Platic Factory City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hayder Hospital Kebele: - Direction: Around Hayder Hospital   Building:   Branch:   Flat: Phone: +251-34-4400452
Ayder Referral Hospital & Health College,Hospital & Health College City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hayder Hospital Kebele: - Direction: Around Ayder Hospital   Building:   Branch:   Flat: Phone: +251-34-4416693
Solomon Hotel,"Restaurant, Bar and Bedrooms City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Meberat hail Kebele: 04 Direction: Behind Demariam Church   Building:   Branch:   Flat: Phone: +251-34-4416237"
Axum School,Kindergarten City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Meberat hail Kebele: - Direction: Near Rufael Church   Building:   Branch:   Flat: Phone: +251-34-4403929
Alula Abanega Hotel,"Restaurant, Bar and Bedrooms City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Hayat Kebele: 16 Direction: Behind Keymsekel   Building:   Branch:   Flat: Phone: +251-34-4406675"
Tigray Trad and Industry,Trad and Industry City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Demariam Kebele: - Direction: In front of Demariam Church   Building:   Branch:   Flat: Phone: +251-34-4410277
Tigray Region General Audit Office,Rigion General Audit Office City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Demariam Kebele: 03 Direction: Behind Meberat hail   Building:   Branch:   Flat: Phone: +251-34-4406053   +251-34-4409360 Fax: +251-34-4406190
The Government the National State Tigray Office of Technical and voactional Educational & Traning,Technical and voactional Educational & Traning City: Mekelle City  Kifle Ketema: Mekelle  Sefer: Semaetat Houilt Kebele: - Direction: In front of dedebit maykero finance   Building:   Branch:   Flat: Phone: +251-34-4402085 Fax: +251-34-4402086 P.O.Box 1336 Website/Email: www.tigraytvet.gov.et
