branch,city,kifle_ketema,direction,building,flat,phone,name
,Mekelle City,Mekelle,Hawulti Kebele: 01,In Front Of New Stadium,,+251-93-5987272   +251-11-8296284   +251-34-4405660 Website/Email: PlanetHotel@ethionet.et    www.PlanetHotel.com,Planet Hotel
No 3,Mekelle City,Mekelle,Hawulti Kebele: -,In side Planet Hotel,,+251-91-3931516,Tesfa /Look Leather/
,Mekelle City,Mekelle,Hawulti Kebele: -,Around Mekele Universty Adhaki Branch,,+251-34-2400196/97   +251-93-0002267,Desta International Hotel
,Mekelle City,Mekelle,Hawulti Kebele: 11,In Side Tagze Building,,+251-34-4405757,Echi House & Office Furniture
,Mekelle City,Mekelle,Jibruk Kebele: -,In Front of United Alfa,,+251-34-4408891,Hadush Building Material Shop
Sefere Selam Branch,Addis Ababa City,Addis Ketema,Sefere Selam Kebele: 01/02/03,Near Rimo Building,,+251-11-2732858,Berhan International Bank S.C
,Mekelle City,Mekelle,Jibruk Kebele: 20,Around Kedamay Weyane Police Station,,+251-34-4409038,Angefom Haile Building Material Shop
Gofa Branch,Addis Ababa City,Nefassilk Lafto,Gofa Kebele: 03/04/05,In front of Zeleke Building,3rd Floor,+251-11-4161122,Oromia Insurance
,Mekelle City,Mekelle,06 Kebele Kebele: -,Around SOS Taxi Mechersha,,+251-34-8409350,Winner Engineering
,Mekelle City,Mekelle,06 Kebele Kebele: -,In Front of Trans Ethiopia,,+251-34-4408878,Betel Spare Part
,Mekelle City,Mekelle,06 Kebele Kebele: -,Near Mesfin Garage,,+251-34-4405253,Haile Slase Berhanu Building Construction
,Mekelle City,Mekelle,06 Kebele Kebele: -,In Front of Selam Steel Factory,,+251-34-4401274,Professional General Mechanics PLC
,Mekelle City,Mekelle,kebele 13 Kebele: -,Around Green Vally Restaurant,,+251-91-4314201,Mehari Sebatu Mengesha
,Mekelle City,Mekelle,kebele 13 Kebele: -,Around Green Vally Cafe,,+251-91-4310930,Yehathey General Business P.L.C
,Mekelle City,Mekelle,kebele 13 Kebele: 13,Near Wede Meshesha Generators Shop,,+251-34-4406666,Shewaye Beyene Electrical Materials Supplier
,Mekelle City,Mekelle,kebele 13 Kebele: 13,In Front Of Gebre Kiros Gold Shop,,+251-34-4411309,Kahsay Adhanom Sivubuirs Center
,Mekelle City,Mekelle,kebele 13 Kebele: 11,In Front of Immigration,,+251-34-4410788,Ortho Physiothrapy
,Mekelle City,Mekelle,15 kebele Kebele: 15,In Side Daru Building,,+251-34-4416864,Desta Printing Press
Show Room,Mekelle City,Mekelle,Kebele 14 Kebele: -,Infront of Tigray Hotel,,+251-34-4407721,Semayata Stones Factory
,Mekelle City,Mekelle,Semaetat Houilt Kebele: -,In front of Dedebit Micro Finance Office,,+251-34-4407417,Tigray Regional State & Finanace Economic Office
,Mekelle City,Adihaki,Adihaki Gebeya Kebele: 11,Near Cherkose Building,,+251-34-4415926,Megenagna Staff College
,Mekelle City,Adihaki,Adihaki Gebeya Kebele: 11,Around Dedebit Micro Finance,,+251-34-4409192,Tigray National Regional State Council
,Mekelle City,Adihaki,Adihaki Gebeya Kebele: 11,Around Desta International Hotel,,+251-34-2400074/75   +251–94-5056811   +251-94-5056811 Website/Email: Brathelgh@yahoo.com,Brsathel Guest House
,Bahir Dar City,Bahir Dar,kebele 04 Kebele: 04,Ediget Bulding Ground Floor,,+251-91-1240326   +251-91-18341217,Balaaji Manufacturing P.l.c (Scooty Motor Bike)
,Mekelle City,Adihaki,Adihaki Gebeya Kebele: 11,Near Adhaki Shopping Center,,+251-91-4720302,Mulugeta Ambaye Tela
,Mekelle City,Adihaki,Adihaki Gebeya Kebele: 11,Around Tigray National Regional State Council,,+251-34-4419972   +251-34-4417319,Tigray Mass Media
,Mekelle City,Kiya City,Olibiya Gas Station Kebele: 01,Near Olibya Gas Station,,251-34-4420448,Senay Pharmacy
,Gondar City,Gondar,Hawarya Pawelos Kebele: -,Around Hawarya Pawelos,,+251-58-1116680,"Gondar City Administration Agriculture, Environment and Land Management Department"
,Dire Dawa City,Dire Dawa,Sabiyan Kebele: 05,Around Beteseb Memria,,+251-25-1112889,Cercle Hotel
,Gondar City,Gondar,Piassa Kebele: -,In front of Medhanialem Building,,+251-58-1117711,Aste Bekafa Hotel
,Gondar City,Gondar,Piassa Kebele: 12,In front of Circle Hotel,,+251-58-1111600,Nail Hotel
,Gondar City,Gondar,Piassa Kebele: 12,In front of Aste Tewodros Hotel,,+251-58-1110040   +251-581113808 Fax: +251-58-1111144,Quara Hotel
,Alamata City,Alamata,Raya Hotel Kebele: -,Around Rya Hotel,,+251-34-7740304,Ethiopia Hotel
,Gondar City,Gondar,Piassa Kebele: 12,From 200m Fasil Ginbe,,+251-58-1112180,Taye Hotel
,Gondar City,Gondar,Piassa Kebele: -,Around National Lottery,,+251-58-1122486,Gonder City Adminstration Support Office
,Gondar City,Gondar,Piassa Kebele: -,Around kebele 13 Office,,+251-58-1110401   +251-58-1113882,Gonder City Police Commission
,Gondar City,Gondar,Piassa Kebele: 01,Near Wawi Restaurant,,+251-58-2201302,Tana Bar and Restaurant
,Gondar City,Gondar,Piassa Kebele: -,In front of Adebabay,,+251-58-1110153,Terara Hotel
,Gondar City,Gondar,Piassa Kebele: -,Behind Awera Godana Organization,,+251-58-1140025,Atse Fassil School
,Gondar City,Gondar,Piassa Kebele: 01,Around Fird Bet,,+251-58-1116353 Website/Email: mhes@ethionet.et,Mahbere Hiwot Reproductive Health and Social Development Organization
,Gondar City,Gondar,Piassa Kebele: -,Behind Curcle Hotel,,+251-91-8777673,Come Up With
,Gondar City,Gondar,Piassa Kebele: -,Near Kora Hotel,,+251-91-2962459,Shibeshi Child Care Center
,Gondar City,Gondar,Piassa Kebele: -,Near Terara Hotel,,+251-91-8772216,Queen Pension
,Gondar City,Gondar,Piassa Kebele: -,Behind Terara Hotel,,+251-58-1114356,Belegez Pension
,Gondar City,Gondar,Piassa Kebele: -,Around Aste Bekafa Hotel,,+251-91-8771714,Semen Mountain Travel
,Gondar City,Gondar,Piassa Kebele: -,Near Tell,,+251-91-8770280,Explore Semen Tour
,Gondar City,Gondar,Piassa Kebele: -,Inside Taye Hotel,,+251-91-8770347,Galaxy Express Service
,Gondar City,Gondar,Piassa Kebele: -,Behind Cinema Hall,,+251-91-8776825,Corahu Bebahle Cultural Club
,Gondar City,Gondar,Piassa Kebele: -,In Front of Atse Tewoderos statue,,+251-58-1111991,Ozone Bar & Restaurant
,Gondar City,Gondar,Piassa Kebele: -,Inside Tedros Building,,+251-91-8770676,BJ Tour & Travel
,Gondar City,Gondar,Piassa Kebele: -,Around Atse theodros statue,,+251-91-8770495,Camelot Cultural Club
,Debre Tabor City,Debre Tabor,Menaharia Kebele: 02,Near Abissinia Bank,,+251-58-4411515,Hibret Hotel
,Gondar City,Gondar,Arada Gebeya Kebele: -,Around Hibret Hotel,,+251-58-1111451,Gonder Department of Family and Reproductive Health Clinic
,Gondar City,Gondar,Dashen Bank Kebele: -,In front of Dashen Bank,,+251-58-1110345,Gonder City Administration Micro & Small Enterprise Office
,Gondar City,Gondar,Dashen Bank Kebele: -,Around Foger Hotel,,+251-58-1115444,Waliya School
,Gondar City,Gondar,Dashen Bank Kebele: -,Around Commercial Bank of Ethiopia,,+251-58-1260073   +251-97-5154646,AG Hotel
,Gondar City,Gondar,Menaharia Kebele: 01,Near Mebrat Hail,,+251-58-2200310,Mare Afewerk
,Debre Markos City,Debre Markos,post office Kebele: 05,Around Shebelle Hotel 50m,,+251-58-7711153   +251-91-1745136,Tadele Getahun Hotel
,Gondar City,Gondar,Menaharia Kebele: -,Around Bus Station,,+251-58-3320020,Makesegnit School
,Gondar City,Gondar,Menaharia Kebele: -,Near 01 Kebele,,+251-58-3330501,Beza School
,Gondar City,Gondar,Menaharia Kebele: -,In front Beless Market,,+251-58-3390050,Guahela School
,Gondar City,Gondar,Menaharia Kebele: -,Behind Bus Station,,+251-58-3310156,Gende Wuha School
,Gondar City,Gondar,Menaharia Kebele: -,In front of Micro Computer Terning Center,,+251-58-2230017,Ayalew Mekonen School
Dessie Branch,Dessie City,Dessie,Piassa Kebele: -,In front of Tele,,+251-33-1119140/41,Africa Insurance Company S.C
,Gondar City,Gondar,Yohannes Church Kebele: 01,After 100m From Maraki Hotel,,+251-58-1112260   +251-91-8770099   +251-91-8350719,Florida Hotel
,Gondar City,Gondar,Yohannes Church Kebele: -,Around Yohans Church,,+251-91-3172872,Yeethiopia Optometry Balemuyawoch
,Gondar City,Gondar,Yohannes Church Kebele: -,Around Florida Hotel,,+251-91-8731155,Poly Technical College
,Gondar City,Gondar,Gina kebele Astedader Kebele: 01,Around Gina kebele Astedader,,251-58-4460101/02,Wereta ATVT
,Gondar City,Gondar,Police Station Kebele: 02,In front of Walia Kapa Hotel,,+251-58-1110405,Fogera Hotel
,Gondar City,Gondar,Police Station Kebele: 02,Near Andenga Police Station,,+251-58-1113523,Gonder City Administration Government Communication Office
,Gondar City,Gondar,Fogera Kebele: 02,Around Genetics Hotel,,+251-58-1120314,Kapra Walia Hotel
,Gondar City,Gondar,Debark Mewcha Kebele: 01,Around Facil milk Factory,,+251-58-1110634 Fax: +251-58-1111920 P.O.Box 182 Website/Email: gohahotel@ethionet.et,Goha Hotel
,Gondar City,Gondar,fasil Genbe Kebele: 12,In front of Meskel Adebabay,,+251-58-1117020,Central Gonder Hotel
,Gondar City,Gondar,Shenta Menafesha Kebele: 18,Near Webet Lakewu Building,,+251-58-1117020   +251-58-1141297   +251-91-8772777,Queens Hotel
,Gondar City,Gondar,Arebenoch Adebabay Kebele: -,Near yedero timeheret biro,,+251-58-1114168,Gonder City Civil Service Administration Office
,Gondar City,Gondar,Arebenoch Adebabay Kebele: -,Inside Civil Service Gibi,,+251-58-1110123,Gonder City Administration Education Office
,Gondar City,Gondar,Silase Kebele: -,Inside kentiba biro,,+251-58-1116161 Website/Email: meleseu@yahoo.com,Gonder City Administration HIVAIDS office
,Gondar City,Gondar,Silase Kebele: -,In front of Gumeruk Office,,+251-58-1110101 Fax: +251-58-1117847 Website/Email: gomun@ethionet.et    www.gondercity.gov.et,Gonder City Administration
,Gondar City,Gondar,Facildes School Kebele: -,In front of facildes hultnaga dereja temheret bet,,+251-58-1110459,Gonder City Administration Water Swearage Service Office
,Gondar City,Gondar,kefetegna Fired bet Kebele: 02,Near kefetgna fired bet,,+251-58-1111739,Gonder City Adminstration Applicant Court Office
,Gondar City,Gondar,kefetegna Fired bet Kebele: -,Around kefetegna Fired bet,,+251-58-1120335,Gonder Costume Office
,Gondar City,Gondar,Akem gnebata Kebele: -,Inside Akem genbata,,+251-58-1114169,Gonder City Adminstration Health Office
,Dessie City,Dessie,Menaharia Kebele: 06,In front of Shell Gas Station,,+251-33-1119118,Amba Ras Hotel
,Gondar City,Gondar,Buluko Kebele: -,Around Abiyot Garage,,+251-58-1116511,The Kindu Trust-Ethiopia
,Gondar City,Gondar,Buluko Kebele: 01,Around Deset,,+251-58-1122929/30 Fax: +251-58-1122931 P.O.Box 2235 Website/Email: info@gonderlandmark.com,Gonder LandMark Hotel ****
,Gondar City,Gondar,Buluko Kebele: -,In Side Amahar Development Association,,+251-91-8774820,Mulu Alem Melemela Liku
,Gondar City,Gondar,Buluko Kebele: -,Near Total,,+251-58-1111954,Gonder City Administration Court Office
,Gondar City,Gondar,Chillga Kebele: -,In front of Mesetyet Terara,,+251-58-3330008,Ayikel School
,Gondar City,Gondar,zero soset kebele Kebele: -,Around Land Skip Hotel,,+251-58-1171000,Saron School
,Gondar City,Gondar,zero soset kebele Kebele: -,Near Gumruk,,+251-91-8350600,Zozeamba Hotel
,Gondar City,Gondar,Adrike Kebele: -,In front of Wetat maekele,,+251-58-2600220,Adirkaya School
,Gondar City,Gondar,Chreka sefer Kebele: -,Behind Bus Station,,+251-58-2730154,Dele Fana School
,Gondar City,Gondar,Mazegaja bet Kebele: -,In front of Mazegaja   House No.: 9999,,+251-58-1160004,Chiez Access School
,Gondar City,Gondar,Mazegaja bet Kebele: 18,In Side Deshen Beer Factory,,+251-91-8763638,Deshen Beer Sport Club
,Gondar City,Gondar,Semen park Kebele: -,Near Michael Church,,+251-58-11700923,Michael School
,Gondar City,Gondar,Semen park Kebele: -,Around National Park,,+251-93-1688062   +251-91-8776499,limalimo Lodge
,Gondar City,Gondar,Dalgia Kebele: -,Behind Asetedader Office,,+251-58-3360177,Delgi School
,Gondar City,Gondar,Kola diba Kebele: -,Near Technic ena Muya School,,+251-58-3350045,Koladiba School
,Gondar City,Gondar,Wegera Kebele: -,In front of Atobis Tera,,+251-58-1180142,Amba Giorgise School
,Gondar City,Gondar,yeser wuha Kebele: -,Near Beshaw Shope,,+251-58-7740491,New Vistion School
,Gondar City,Gondar,Micha Kebele: -,Around Gebreal Church,,+251-58-3300835,Merawi School
,Gondar City,Gondar,Kebele 17 Kebele: -,Around Kebele 17 Office,,+251-58-1115858,Dagemawi Sisay School
,Gondar City,Gondar,01 Kebele Kebele: -,Around Buluko Factory,,+251-58-1122458,Debre Selame St. Mariyam School
,Gondar City,Gondar,01 Kebele Kebele: 02,In front of Kentiba Office,,+251-58-1110134,Yenege Tesfa Orphan and Street Children Organazation
,Gondar City,Gondar,01 Kebele Kebele: -,Around Lideta Mazorya,,+251-91-8763606,Mintiwab Loge
,Gondar City,Gondar,01 Kebele Kebele: -,Around Fasiledes Preparatory School,,+251-58-1110731,Gonder Printing Enterprise
,Dessie City,Dessie,Piassa Kebele: -,Around Piassa,,,Abay Bank (ATM)
,Gondar City,Gondar,Mesgid Kebele: -,Around Hedar 11 School,,+251-58-1115935,Mariyam School
,Gondar City,Gondar,Gonder Universtiy Kebele: -,Around Gonder Universtiy,,+251-58-1140425,Bridge School
,Gondar City,Gondar,Gonder Universtiy Kebele: -,Behind Gonder Universtiy,,+251-58-1115204,Chechla School
,Gondar City,Gondar,Ayer menged Kebele: -,Around Ayer menged,,+251-58-1116772,Abune Samuel School
,Gondar City,Gondar,Korkoro Sefer Kebele: -,Around Abo Church   House No.: 999999,,+251-58-1113543,Edget Feleg School
,Gondar City,Gondar,Teda Kebele: -,Near Tena Tabia,,+251-58-4480058,Hedasse Tseda School
,Gondar City,Gondar,Gonder Ber Kebele: 13,Around Arebegnoch,,+251-58-1110300,Semen Park Hotel
,Gondar City,Gondar,Kebele 18 Kebele: -,Around Maraki Collage,,+251-58-1118399   +251-91-8776068,Jantekel Hotel
,Gondar City,Gondar,Ledeta Mazorya Kebele: -,Around Gonder Universty,,+251-91-1407824,Mintewab Resort Hotel
,Gondar City,Gondar,Samuna Ber Kebele: -,Around Red Fox Hotel,,+251-58-1141075,Kino Hotel
,Gondar City,Gondar,Fasil Kebele: -,Around Old fasil Hotel,,+251-91-8773311,Balageru Cultural Club
,Gondar City,Gondar,Fasil Kebele: -,Inside Emperor Fasil Palace,,+251-91-8763606   +251-91-8771124,Gonder Private Tour Guides Assocation
,Gondar City,Gondar,L Shape Kebele: -,Behind Tell,,+251-91-8787634,L Shape Hotel
Debre Markos Branch,Debre Markos City,Debre Markos,Feres Bet Kebele: 01,Behind Gozamen Hotel,,+251-58-1780062,Abay Insurance S.C
,Gondar City,Gondar,Kebele 16 Kebele: -,Around Fasil meweyewu,,+251-58-1122903,Lamergeriya Hotel
,Gondar City,Gondar,Airport Kebele: -,Around Tewodros Airport,,+251-91-2202801,Mayleko Lodge
,Gondar City,Gondar,Chewa Sefer Kebele: -,Infront of Dashen Bank,,+251-91-8774534,Green House Bar & Restaurant
,Bahir Dar City,Bahir Dar,Giorgis Church Kebele: 05,Inside Deb Anbesa hotel,,+251-58-2221282 Fax: +251-58-2221280 Website/Email: www.brcbudget.com    brcbudget@yahoo.com,BRC Budget Car Rental and Tours
Jijiga Branch,Jijiga City,Jijiga,Meker bet Kebele: -,Near Awash Bank,,+251-25-7754440 Fax: +251-25-7754440,Global Insurance Company
,Nazreth (Adama) City,Nazreth (Adama),Adama Ras Hotel Kebele: -,In front of Bus Station,,+251-22-1111993,Adama Ras Hotel
,Nazreth (Adama) City,Nazreth (Adama),Adama Hospital Kebele: 01,Around Adama hospital,,251-22-1124140,Tinsaye Pharmacy
Adama Branch,Adama City,Adama,Meberat Hayil Kebele: -,In Side Mahal Arada Shaqat Tera Building 1St Floor,,+251-22-1128092,Delta Production & Commercial Enterprise P.L.C
,Nazreth (Adama) City,Nazreth (Adama),Adama Ras Hotel Kebele: -,Near Adama Ras Hotel,,251-22-1110888 Fax: 251-22-1114179,Yam Hotel P.L.C
,Adama City,Adama,Meteorology Kebele: 04,Aroun Meteorology,,251-22-1110400/94   251-22-1100030 Fax: 251-22-1110480,Adama University
,Adama City,Adama,Meberat Hayil Kebele: -,Near Belay Abe,,+251-22-1113500 Fax: +251-22-1112397 P.O.Box 142,Adama Garment Industry
Prodact Show Room,Bahir Dar City,Bahir Dar,Nigid Bank Kebele: 01,Near Papyrus Hotel,,+251-91-1118383   +251-94-0505050 Website/Email: adamasteelfactory@yahoo.com    web:-www.adamasteelfactory.com,Adama Steel Factory
Adama Branch,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: -,Around 18 Police station Inside Yosef Building,,+251-22-1111853,Lusy Insurans Sc.
Durame Branch,Durame City,Durame,Menaharia Kebele: -,Around Hani Cafe,,+251-46-5540235,Debub Global Bank
Adama Branch,Nazreth (Adama) City,Nazreth (Adama),piramid hotel Kebele: -,Near Panafric Hotel,,+251-22-1114660/64 Website/Email: web:-www.warytze.com    waryt@ethionet.et    info@warytze.com,Waryt Mulutela International P.l.c
,Adama City,Adama,Rift Vally Hotel Kebele: -,Around Rift Valley Hotel,,+251-22-1111022,Adama Ketam NOC Gas Station
,Adama City,Adama,Meteorology Kebele: -,Inside Adama University,,+251-22-1100023,Adama Science and Technology University Students Association
,Nazreth (Adama) City,Nazreth (Adama),Piassa Kebele: -,Near Mebrat Hail,3rd Floor,+251-91-1788392   +251-92-0681770,Shalom Integrated Community Development Organazation
,Nazreth (Adama) City,Nazreth (Adama),Shwa Bakery Kebele: 12,Around Sowa Bakery,,251-22-1112424,Adama Hospital
,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: -,Near Mazegaja Bet,,+251-22-1112024,Adama Education Office
,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: -,Inside Genezeb Minister,,+251-22-1124655,Adama Werda Advertising Office
,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: -,Around Kefetegna Ferede bate,,+251-22-1124655,Adama Werda Communication Affairs
,Nazreth (Adama) City,Nazreth (Adama),Amede Kebele: -,Around Tadesse Debele Building,,+251-22-1111755,Adama Generale Scondary School
,Nazreth (Adama) City,Nazreth (Adama),Tele Kebele: -,In front of Eyesuss Church,,+251-22-1113623 Fax: +251-22-1118068,Adama Centeral Stastics Agency
,Nazreth (Adama) City,Nazreth (Adama),Ethiopia Nigid Bank Kebele: 06,Near Karamara Hotel,,251-22-1121644,Frank Hotel Adama
,Nazreth (Adama) City,Nazreth (Adama),Mariam Church Kebele: -,Around Mariam church,,+251-22-1120470,Adama Werda Adminstration
,Nazreth (Adama) City,Nazreth (Adama),Mariam Church Kebele: -,Around Mariam Church,,+251-22-1112061   +251-22-1122135   +251-22-1129104 Fax: +251-22-1111969 P.O.Box 034,Adama City Administration
,Nazreth (Adama) City,Nazreth (Adama),Bekele Mola Hotel Kebele: -,Inside Wuha biro,,+251-22-1121845,Adama Irrgation Dev't Autority
,Nazreth (Adama) City,Nazreth (Adama),Aba geda Adarash Kebele: 09,In front of Adama Ras Hotel,,+251-22-1127320   +251-22-1113687,Adama German Hotel
,Nazreth (Adama) City,Nazreth (Adama),Total Kebele: -,Around Kuriftu Resort,,+251-22-1111000,Adama Agricultural Machinery Industry
,Nazreth (Adama) City,Nazreth (Adama),Awera Godana Kebele: 09,Near Yetebaberute Gas Station,,+251-22-1100735,Adama Gete Hotel
,Nazreth (Adama) City,Nazreth (Adama),11 Muger Kebele: -,Around Honey Cafe,,+251-22-1113201,Tiwab Adama School
,Nazreth (Adama) City,Nazreth (Adama),11 Muger Kebele: 11,Around Hani Pastry,,+251-22-1112957,Adama No 4 School
,Nazreth (Adama) City,Nazreth (Adama),Meteorology Kebele: -,Around Textile factroy,,+251-22-1116174,Adama Metryolgical Branch Office
,Nazreth (Adama) City,Nazreth (Adama),Meteorology Kebele: -,Around Adama University,,+251-22-1112530,Adama Labor and Social Affairs
,Nazreth (Adama) City,Nazreth (Adama),Meteorology Kebele: -,In Front of Adama University,,+251-22-1112405,Adama Women Afair
,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: -,Near Ada Cafe,,+251-22-1112083   +251-22-1121882 Fax: +251-22-1122699 P.O.Box 36 Website/Email: ncc@ethionet.et,Adama Chamber of Commerce and Sectetorial Assocation
,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: -,Near Tel,,+251-22-1115862,Adama Finance & Econmy Dev't Office
,Nazreth (Adama) City,Nazreth (Adama),Halemariam Hotel Kebele: -,Bhind Adama tshaye School,,+251-22-1126364,Adama Ethiopian Family Planing Association
,Nazreth (Adama) City,Nazreth (Adama),Gebriel Church Kebele: -,In front of Titas Hotel,,+251-22-1126448 Fax: +251-22-1119104,Adama City Adminstration Police Leders
,Nazreth (Adama) City,Nazreth (Adama),Bole Kebele: 04,In fornt of Geda Menafesha,,+251-22-1126590   +251-22-1129673,Adama General Hospital & Medical Collage
,Nazreth (Adama) City,Nazreth (Adama),kebele 10 Kebele: 10,Near St.George Secondary School,,+251-22-1110134,Adama Level 2Public Transport Association
,Nazreth (Adama) City,Nazreth (Adama),Tikur Abay Kebele: -,Insdie Geberena gebi,,+251-22-1112989,Adama Disaster privention and prepardness Agency
,Nazreth (Adama) City,Nazreth (Adama),Tikur Abay Kebele: -,Behind Tesfago,,+251-91-1759783,Wegen Yebego Adragot Mahber Adama
,Nazreth (Adama) City,Nazreth (Adama),Diredawa Hotel Kebele: -,Near Diredawa Church,,+251-22-1111177 Fax: +251-22-1121494,Adama Ethiopia Grain Trade Enterprise
,Nazreth (Adama) City,Nazreth (Adama),Kebele 05 Kebele: -,In Front Of Adama Fatl Factory,,+251-22-1126500   +251-93-0107518 Fax: +251-22-1126530 Website/Email: dallolhotel2007@gmail.com,Adama Real State Dallol Hotel
,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: 07,In front of Meberat haile,Ground floor,+251-22-1100489   +251-91-1377962,Abdi Gudina Adama Sacco Union
,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: -,Behind yeketema mazegaja bet,,+251-22-1123623 Fax: +251-22-1122677,Adama East Shoa Justice Department and Prosecuter
,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: -,Behind meberat hail Around Adea Cafe,,+251-22-1124655,Adama City Advertising and Public Relation Office
,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: -,Near Kefetegn ferede bate,,+251-22-1112169,Adama Werda Finance And Econome Development Office
,Nazreth (Adama) City,Nazreth (Adama),Mariam Church Kebele: -,In front of Mariam Church,,+251-22-1120549,Adama Misrak Shoa Public Relation Office
,Nazreth (Adama) City,Nazreth (Adama),Mariam Church Kebele: -,In front of Mariam Church,,+251-22-1122043   +251-22-1128221   +251-22-1122054 Fax: +251-22-1124769 Website/Email: ESZ.tourism@gmail.com    www.eastshoatourism.gov.et,Adama East Shoa Zone Cultural & Tourism Office
,Adama City,Adama,Franko Kebele: -,In front of Mami Restaurant,,+251-22-1117373,Care Tech 4-Trans P.L.C
,Adama City,Adama,NOC Kebele: 10,Around Kebele 10,,+251-91-1490920,Samuel Wosene Construction
,Adama City,Adama,Piassa Kebele: -,Inside Old 07 Kebele,,+251-91-1647990,Nzrawe Yemahbereseb Limat Bego Adragot Mahber
,Adama City,Adama,Meberat Hayil Kebele: -,Peacok Road In Front of St.Joseph Printing Press,,+251-91-1259892   +251-92-9932657,Ansif Construction
,Adama City,Adama,Meberat Hayil Kebele: -,Near Mebrat Haile   House No.: 999999,,+251-22-1112272,Getachew Worku Sport
,Adama City,Adama,Meberat Hayil Kebele: -,Near National Building,,+251-22-1114455,Nati Studio
,Adama City,Adama,Meberat Hayil Kebele: -,In front of Negid Mekere bet,,+251-22-1129680,Photo Addis
,Adama City,Adama,Meberat Hayil Kebele: 04,Around Nur Building,,+251-22-1126119,Rodas Jewellary
,Adama City,Adama,Meberat Hayil Kebele: -,Near Sun Ries Cafe,,+251-22-1121745,St.Joseph Pharmacy
,Adama City,Adama,Meberat Hayil Kebele: -,In front of Sister Akelesya Hospital   House No.: 999999,,+251-22-1112717,Ephrem Pharmacy
,Adama City,Adama,Meberat Hayil Kebele: -,In front of Sun Rise Cafe,,+251-22-1114956,Sena Trading P.L.C
,Adama City,Adama,Meberat Hayil Kebele: 04,Around Eagle Hotel,,+251-91-1746369,Ferihewot Stationary
,Adama City,Adama,Meberat Hayil Kebele: -,Around Mebrat Haile,,+251-91-1621944,G.K Construction P.L.C
,Adama City,Adama,Meberat Hayil Kebele: 02,Inside Awash International Bank Building,,+251-91-1617530,G D Internattional Trading P.L.C
,Adama City,Adama,Dashen Bank Kebele: -,In front of Sun Rise,,+251-22-1112040,Flame Textile
,Adama City,Adama,Mariam Church Kebele: -,Around Mariam Church,,+251-22-1117030,Shewa Pharmacy
,Adama City,Adama,Aba Geda Hotel Kebele: -,In front of Aba Geda,,+251-22-1127090/80,Kereyu Hill Hotel
,Adama City,Adama,Misrak Police memiria Kebele: 04,Around Mariam Church,,+251-22-1121101/02,Web Food Complex P.L.C
,Adama City,Adama,Gimb Gebeya Kebele: 04,Near National Building,,+251-22-1126119,Ruth Jewellary
,Adama City,Adama,Manedo Menafesha Kebele: -,Behind Mango Menafesh,,+251-22-2200135,Wendi Oda School
,Adama City,Adama,Legehar Kebele: 04,Wenji mazoriya Around Dukit Sefer,,+251-22-1120352   +251-22-1118211,Acos Ethiopia P.L.C
,Adama City,Adama,09 Kebele Kebele: 09,Around Wenji Mazoriya,,+251-22-1110505,Dembel View International Hotel
,Adama City,Adama,04 Kebele Kebele: -,Around Adama Universty,,+251-91-1201608,Nazreth Garment
,Adama City,Adama,05 Kebele Kebele: -,Around Adama Fatel Factory,,+251-91-1227046,Kya Food Complex
,Adama City,Adama,Meberat Hayil Kebele: -,Arount Mebrat Hayle,2nd Floor,+251-91-1253803,Eyasu Mosissa Construction
,Dire Dawa City,Dire Dawa,Air Thicket Office Kebele: -,Near Air Thicket Office,,251-25-1113415,National Hotel
,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: 15,Around Hebret Sega bet In front of Buna International Bank,,+251-22-1111506,Liya Cafe
,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: -,Inside Menged Transport,,+251-22-1121372,East Shoa Zone Work & Urban Developmnet
,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: 01,In front of Mulugeta Meat Shop,,+251-22-1114956,Sena Trading
,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: 01,Near Awash Bank,,+251-22-1119072,Mengstu Baysa
,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: 02,Near Joka Hotel,,+251-22-1112525,Konjo Stationary
,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: 01,Near Abissiniya Bank,,+251-22-1113843,Abas Building Material Shop
,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: -,Behind Gedel gebu School,,+251-22-1113940,Hohte Tebebe 1st Dereda School
,Nazreth (Adama) City,Nazreth (Adama),Meberat Hayl Kebele: 02,Around Arada Market Center,,+251-91-1315459,Msbahu Seid Ahmed
